size,naive,better,blas
100,0.000607,0.000226,0.000720
200,0.005748,0.002165,0.005655
300,0.018595,0.006576,0.020118
400,0.046209,0.014865,0.046535
500,0.084895,0.029739,0.086246
600,0.171972,0.050761,0.145752
700,0.369348,0.105423,0.246643
800,0.636000,0.159461,0.394744
900,0.866755,0.284514,0.602745
1000,2.523697,0.396160,0.838558
