size,naive,better,blas
100,0.193338,0.143523,0.004626
200,1.735170,1.183515,0.016449
300,5.128111,3.823929,0.052458
400,12.262842,9.095087,0.118417
500,24.158838,17.715896,0.220194
600,43.375346,32.593662,0.402595
700,70.302713,53.695772,0.651434
800,113.626904,75.493337,0.924080
900,145.860256,106.301932,1.287259
1000,201.551282,144.784394,1.699234
