size,naive,better,blas
100,0.001116,0.000703,0.000781
200,0.010333,0.005572,0.006622
300,0.036364,0.017823,0.018375
400,0.090419,0.042370,0.044294
500,0.168529,0.083097,0.083352
600,0.310947,0.166557,0.178036
700,0.588130,0.234290,0.256650
800,0.907120,0.361299,0.401236
900,1.393880,0.589581,0.732604
1000,2.734848,0.758062,0.825181
